# LAMMPS data file written by OVITO
2123 atoms
5 atom types
0.0000000000000000e+00 1.4240000000000001e+02 xlo xhi
0.0000000000000000e+00 1.4240000000000001e+02 ylo yhi
0.0000000000000000e+00 1.4240000000000001e+02 zlo zhi

Masses

1 55.85
2 58.69
3 52
4 58.93
5 63.55

Atoms # atomic

1	2	69.4199982	64.0800018	55.1800003
2	5	67.6399994	65.8600006	55.1800003
3	2	72.9800034	64.0800018	55.1800003
4	3	71.199997	65.8600006	55.1800003
5	1	74.7600022	65.8600006	55.1800003
6	3	65.8600006	67.6399994	55.1800003
7	2	64.0800018	69.4199982	55.1800003
8	3	69.4199982	67.6399994	55.1800003
9	1	67.6399994	69.4199982	55.1800003
10	4	72.9800034	67.6399994	55.1800003
11	3	71.199997	69.4199982	55.1800003
12	1	76.5400009	67.6399994	55.1800003
13	2	74.7600022	69.4199982	55.1800003
14	5	78.3199997	69.4199982	55.1800003
15	4	65.8600006	71.199997	55.1800003
16	2	64.0800018	72.9800034	55.1800003
17	5	69.4199982	71.199997	55.1800003
18	4	67.6399994	72.9800034	55.1800003
19	2	71.199997	71.199997	53.4000015
20	2	72.9800034	71.199997	55.1800003
21	1	71.199997	72.9800034	55.1800003
22	1	76.5400009	71.199997	55.1800003
23	5	74.7600022	72.9800034	55.1800003
24	5	78.3199997	72.9800034	55.1800003
25	2	65.8600006	74.7600022	55.1800003
26	5	69.4199982	74.7600022	55.1800003
27	2	67.6399994	76.5400009	55.1800003
28	5	72.9800034	74.7600022	55.1800003
29	2	71.199997	76.5400009	55.1800003
30	5	76.5400009	74.7600022	55.1800003
31	3	74.7600022	76.5400009	55.1800003
32	4	69.4199982	78.3199997	55.1800003
33	2	72.9800034	78.3199997	55.1800003
34	5	71.199997	58.7400017	58.7400017
35	5	65.8600006	62.2999992	56.9599992
36	4	65.8600006	60.5200005	58.7400017
37	4	64.0800018	62.2999992	58.7400017
38	5	69.4199982	62.2999992	56.9599992
39	4	69.4199982	60.5200005	58.7400017
